PLAYER_NAME,ID,diff
Jordan Mickey,147,-0.31356493646889844
Othyus Jeffers,8,-0.3125507390687158
Antonius Cleveland,39,-0.3123091474705657
Shannon Brown,91,-0.3121724904770673
Aaron Gray,63,-0.31056848087365196
KZ Okpala,123,-0.310538154989307
Amile Jefferson,40,-0.3096913956048775
Nigel Williams-Goss,16,-0.3085013026774925
Ron Baker,310,-0.3082423252411725
Vic Law,19,-0.30815900953738445
Quincy Miller,324,-0.3076338837532537
Josh Okogie,1363,-0.3070859590514797
Zoran Dragic,30,-0.3062036129436677
Precious Achiuwa,404,-0.304729354701818
Ricky Ledo,125,-0.30384150889223643
Naji Marshall,279,-0.3030040031239301
Dusty Hannahs,23,-0.30281492772837465
Lou Amundson,374,-0.302631953366959
Brodric Thomas,125,-0.3025850075131751
Dairis Bertans,47,-0.30121321337282975
Robert Woodard II,24,-0.3005468363398674
Sekou Doumbouya,571,-0.3003782209577021
Georgios Kalaitzakis,10,-0.2996002918149462
Kyle Alexander,2,-0.29916606433073456
Kyle Guy,98,-0.29661863301185276
Jack Cooley,57,-0.2933804152817854
Xavier Henry,434,-0.2915949187701063
Romeo Langford,201,-0.2903948310348551
Viacheslav Kravtsov,17,-0.2896538617148384
CJ Elleby,85,-0.28902782591045917
Quinndary Weatherspoon,57,-0.2890099207335371
Dionte Christmas,72,-0.2886494951772515
Phil Pressey,539,-0.28811243932417097
Zhaire Smith,48,-0.2862310732369871
Daniel Oturu,58,-0.2846921148402903
Josh Green,111,-0.28408118810213956
Wade Baldwin IV,179,-0.2817167050042098
Chris Singleton,78,-0.2814330904175348
Cleanthony Early,266,-0.2785413886283257
Kostas Papanikolaou,260,-0.2777271312805143
Tony Wroten,1490,-0.2766177337479656
Anthony Brown,173,-0.2766072853357898
Julian Washburn,49,-0.27416517571414534
Malcolm Thomas,61,-0.2739518017456189
Dzanan Musa,209,-0.2725788263112756
Pierre Jackson,41,-0.27252349893707917
Rondae Hollis-Jefferson,2524,-0.27241380417991723
Trendon Watford,2,-0.27196757147200984
Isaac Okoro,704,-0.2702023612175571
Wes Iwundu,932,-0.268491516192993
Nate Darling,7,-0.268201021899315
Axel Toupane,98,-0.2665324287223471
PJ Hairston,693,-0.2663687256101315
Andrew Harrison,972,-0.26577338477912765
Josh Huestis,210,-0.26535171449216566
Alexey Shved,662,-0.2650871051521614
Daniel Orton,43,-0.26461272698180754
Kyle Wiltjer,15,-0.26345388539366477
Trey Murphy III,86,-0.2622146556599015
Jalen Green,218,-0.26210517533851885
Brandon Davies,294,-0.26196172626122377
Archie Goodwin,931,-0.2616713279825128
Isaiah Hicks,90,-0.26101551135938855
Jawun Evans,282,-0.2599137242160414
Naz Mitrou-Long,39,-0.2597931795406845
Lamar Stevens,181,-0.25937369163887397
Marcus Georges-Hunt,64,-0.25702928247759704
Hilton Armstrong,25,-0.25641648734631867
Damien Wilkins,40,-0.25625624266072883
Usman Garuba,14,-0.25575007339242284
Vincent Poirier,51,-0.254952091726674
Anthony Randolph,202,-0.2546734511618524
Sindarius Thornwell,386,-0.25416672831332265
Ziaire Williams,73,-0.2536190196241972
Manny Harris,90,-0.2529250941220643
Rodney Purvis,110,-0.2527787118968123
Semaj Christon,233,-0.2527153354039805
Deonte Burton,212,-0.25228036190123626
DJ Stephens,9,-0.25182801667197174
Norvel Pelle,69,-0.25120730168707334
Sean McDermott,36,-0.25008300042739334
Lorenzo Brown,335,-0.24991138988857617
Moses Brown,332,-0.24976746983512096
Isaiah Taylor,453,-0.24974558745671818
KJ McDaniels,748,-0.24932920568176403
Darius Bazley,1255,-0.24855992910859678
Okaro White,111,-0.24846832187116977
Jacob Evans,200,-0.24825008901088963
Alperen Sengun,103,-0.2480771320483956
Sheldon Mac,85,-0.24759807179032794
Kay Felder,250,-0.24748543413789675
Jalen Smith,61,-0.24726019105922645
Elliot Williams,419,-0.24722520685922134
Nigel Hayes,34,-0.24547476854992029
Derrick Williams,2018,-0.24284761198322918
Rayjon Tucker,77,-0.24170132592251325
Cade Cunningham,135,-0.24091110182116082
Zach Norvell Jr.,12,-0.24070532204566872
Malachi Richardson,207,-0.23977973632694938
Marquese Chriss,1849,-0.2391075425350642
Jeremiah Martin,94,-0.23892860489536968
Anthony Bennett,688,-0.23886333650904049
Jarrett Culver,809,-0.238206801144593
Chuck Hayes,189,-0.2374847136914832
Shayne Whittington,61,-0.23742164557635265
James Nunnally,91,-0.23662528592861135
Zaza Pachulia,2290,-0.23597733276469468
Aleksej Pokusevski,506,-0.23585217209978987
BJ Johnson,54,-0.23464780599794624
Chauncey Billups,81,-0.23381293098448322
Caleb Swanigan,172,-0.2334012646255724
Shaquille Harrison,878,-0.23315974485561988
Ramon Sessions,2312,-0.2326248613505828
Ryan Kelly,888,-0.23251956779918445
Nate Hinton,44,-0.23173822132416297
Joakim Noah,1974,-0.23160264329873986
Billy Garrett,27,-0.23125494162978708
Andre Roberson,1255,-0.23044653104680116
Jaylen Hoard,143,-0.23013562257718137
Tyrone Wallace,563,-0.22836197065222255
Ignas Brazdeikis,130,-0.22799948637720024
Daniel Ochefu,28,-0.22788794246262012
Timothe Luwawu-Cabarrot,1593,-0.226754840411635
Jonathan Kuminga,32,-0.2266020174039952
Jeff Withey,545,-0.225736675437787
Brandon Paul,141,-0.22520217233100176
Alonzo Gee,749,-0.22479898966225506
AJ Hammons,50,-0.22402676840178387
Chinanu Onuaku,14,-0.22296316314893147
Michael Carter-Williams,3975,-0.22296048236872273
Landry Fields,104,-0.22279718315228864
Solomon Jones,18,-0.2224510348350593
Luguentz Dort,1122,-0.22241411435142433
Drew Gordon,19,-0.222116048178308
Frank Mason,693,-0.2213552630036579
Cam Reddish,1059,-0.22132202127969436
