PLAYER_NAME,ID,diff
Ike Anigbogu,12,-0.24896302379314575
Justin Wright-Foreman,20,-0.2463832433834166
Jeffery Taylor,240,-0.24573455934953556
Naz Mitrou-Long,38,-0.24505682671565301
Ziaire Williams,72,-0.24459797574676653
Pierre Jackson,39,-0.24322008992286653
Josh Huestis,204,-0.24240287009744235
Damien Wilkins,39,-0.24088111910954638
Zach Norvell Jr.,12,-0.24070532204566875
Sekou Doumbouya,526,-0.24038839489029426
Quincy Miller,294,-0.2397015220765479
Trey Murphy III,84,-0.2393926511212018
Jordan Mickey,133,-0.23937911297684752
Georgios Kalaitzakis,9,-0.23869151227645713
Antonius Cleveland,35,-0.23740437619567456
Dusty Hannahs,21,-0.23713553821712752
Udoka Azubuike,10,-0.23709549546297026
Rodney Purvis,107,-0.23662490188453578
Phil Pressey,497,-0.23621570502678343
CJ Elleby,79,-0.23414400802863247
Romeo Langford,185,-0.23191364063177555
Cleanthony Early,247,-0.2314477085399721
Ricky Ledo,113,-0.23117203166118955
Deonte Burton,205,-0.23022461286332127
Tyshawn Taylor,74,-0.22977344320781642
Zhaire Smith,45,-0.22919050963959334
Nigel Hayes,33,-0.22718147072650222
PJ Hairston,654,-0.22612126001366517
Lorenzo Brown,323,-0.22446804945728255
Drew Gordon,19,-0.222116048178308
Kyle Wiltjer,14,-0.2213224237849908
Josh Green,102,-0.22065381286453564
Matt Williams Jr.,6,-0.2202547511830832
Jawun Evans,266,-0.2201062839131957
Wade Baldwin IV,163,-0.21827076227975092
Dzanan Musa,194,-0.21700828750487924
Bernard James,50,-0.21406390521546584
Cade Cunningham,130,-0.21316311412326852
Quinndary Weatherspoon,52,-0.21289475923909326
Semaj Christon,221,-0.21232727202674295
Jalen Green,203,-0.211568166034509
Chauncey Billups,78,-0.21130101190344228
Aleksej Pokusevski,487,-0.2112077869590228
Aaron Gray,56,-0.21031619284294986
Malcolm Thomas,56,-0.20841006426423642
Josh Okogie,1191,-0.2071993326299608
Manny Harris,85,-0.20457858450047942
Axel Toupane,90,-0.20441779094615203
Jacob Evans,187,-0.20185327652849488
Lou Amundson,327,-0.20055764333634143
James Nunnally,87,-0.19901249483673258
Naji Marshall,244,-0.19899436738287105
Daniel Oturu,52,-0.1984779986393182
Brodric Thomas,108,-0.19822808290898994
Jalen Smith,58,-0.1967048888906379
Daniel Ochefu,27,-0.19655098594330178
Myke Henry,109,-0.19524295988789195
Nate Hinton,42,-0.19430360452021983
Reggie Evans,270,-0.19391583436265789
Vincent Poirier,48,-0.19363134038997876
Branden Dawson,5,-0.19322887209305
Jaylen Adams,118,-0.19250760250125373
Rashad Vaughn,470,-0.1919343149990986
Justin Patton,89,-0.19030787058209936
Larry Drew II,82,-0.1901941388039285
Isaac Okoro,634,-0.18956281447097684
Okaro White,102,-0.18807354873874121
Robert Woodard II,20,-0.18730075038097455
Austin Daye,195,-0.1868136345747803
Solomon Jones,17,-0.1866686424428755
Tibor Pleiss,25,-0.1843955195704431
Ignas Brazdeikis,123,-0.18304688083357812
Elijah Hughes,32,-0.18202493320285432
BJ Johnson,50,-0.18169350272214652
Josh Powell,6,-0.18161664108504127
Darius Morris,201,-0.1775766513175703
Brandon Davies,263,-0.17600005983828487
Wes Iwundu,827,-0.17493725550887004
Eric Maynor,101,-0.17489401431508514
Kira Lewis Jr.,412,-0.17469091979407508
Chuck Hayes,176,-0.17468095542017908
Viacheslav Kravtsov,15,-0.17392765363719373
Sean McDermott,33,-0.173810244607028
Darius Bazley,1141,-0.17378034639041873
Caleb Swanigan,160,-0.1734639409605273
Andre Roberson,1174,-0.17321976396909947
Adam Mokoka,47,-0.1732159788918464
Jeremiah Martin,86,-0.17240382572823051
Precious Achiuwa,343,-0.1716244673936309
Ronnie Price,599,-0.17119237551226177
Jarrett Culver,744,-0.1707933028555029
Tony Wroten,1281,-0.17063496169131903
Jack Cooley,49,-0.1696838055332961
Gary Clark,416,-0.16965180129116159
Kay Felder,225,-0.16935545123170997
Billy Garrett,25,-0.16923925710462057
Jonathan Kuminga,29,-0.16830718618026258
Daniel Orton,38,-0.16652957522906164
Dionte Christmas,62,-0.1662343131284249
Anthony Lamb,118,-0.16549823171763814
Landry Fields,96,-0.164244422902666
Isaiah Hicks,80,-0.16403235553486417
Lamar Stevens,162,-0.163406806656748
Markus Howard,113,-0.1629491890182817
Chris Johnson,552,-0.16246653630405916
Malachi Richardson,187,-0.16203196046573862
Chris Singleton,67,-0.1620316493552663
Norvel Pelle,63,-0.16131856105148248
Timothe Luwawu-Cabarrot,1474,-0.16118951425711478
Marcus Georges-Hunt,56,-0.16105938128910502
Elliot Williams,376,-0.16062140336908365
Alexey Shved,570,-0.16037854205720836
Jason Richardson,178,-0.15996513974868168
Gabe Vincent,323,-0.1597440775711236
KJ McDaniels,666,-0.15920747038609126
Killian Hayes,286,-0.15850339226623364
Tornike Shengelia,27,-0.158251734825225
Stanley Johnson,2227,-0.1577729724132087
Sindarius Thornwell,340,-0.1568138069591646
Anthony Bennett,620,-0.15538763600102656
DeAndre Liggins,249,-0.15500769524407898
Shaquille Harrison,793,-0.15465384255124495
Corey Kispert,45,-0.15452499488097834
Andrew White III,73,-0.1544246618380214
Rakeem Christmas,45,-0.15424340555719884
James Young,203,-0.15407189477750377
Omer Asik,845,-0.15316786630955226
Deividas Sirvydis,40,-0.15308777681513766
Josh Giddey,146,-0.15268075862713323
Jaron Blossomgame,106,-0.15227446327409197
Jeremiah Robinson-Earl,75,-0.1519809199983001
Luguentz Dort,1030,-0.1517635164626579
Sheldon Mac,75,-0.15105375983182168
Anthony Randolph,176,-0.15087920515636186
Jerome Robinson,513,-0.15052514710258905
Isaiah Taylor,397,-0.15028012669399554
Rondae Hollis-Jefferson,2164,-0.1502521470449653
Cam Reddish,968,-0.14974808738229176
Markel Brown,512,-0.14935508654077237
Marquese Chriss,1661,-0.14931818085857576
Mfiondu Kabengele,120,-0.14919627652139786
Andrew Harrison,833,-0.14913946914732762
Admiral Schofield,92,-0.1490738964701299
Tremont Waters,133,-0.14873714147311307
Chris Chiozza,244,-0.14858149550491986
Theo Maledon,648,-0.14780422871949944
Ryan Gomes,8,-0.14769092349567509
Henry Ellenson,325,-0.14704114096860524
Carsen Edwards,239,-0.1465196017028817
Solomon Hill,2119,-0.14593692618218268
Tyrone Wallace,508,-0.14577445136226613
Michael Carter-Williams,3585,-0.14554289901044024
Ryan Kelly,790,-0.144407835289028
Archie Goodwin,805,-0.14435291180137952
Troy Williams,368,-0.14391167423323864
Miye Oni,133,-0.14325113216609953
Cody Martin,482,-0.14246204140266894
Sonny Weems,97,-0.14174620353821143
Tony Mitchell,17,-0.1416835506849264
Andrei Kirilenko,156,-0.1410264985881368
Bruno Caboclo,402,-0.1406226896629545
Henry Walker,168,-0.14027826418290612
Frank Mason,625,-0.14009897072776314
Corey Brewer,2891,-0.14006953110444323
Khyri Thomas,152,-0.14001008028824607
Jahmi'us Ramsey,44,-0.13957280624747262
Tony Allen,1957,-0.13874041356730282
Briante Weber,142,-0.13870433966329632
Victor Claver,62,-0.13865097193384565
Treveon Graham,694,-0.13840993577195157
Paul Zipser,455,-0.1383774357231126
Arnett Moultrie,38,-0.1379708158983831
Isaiah Whitehead,584,-0.13744243378556
Justise Winslow,2247,-0.13742394074923656
Nico Mannion,114,-0.13730072035624263
Caleb Martin,404,-0.13692609759104626
Andrew Bynum,203,-0.13689889957867732
Brandon Goodwin,432,-0.13654388412292967
Bones Hyland,86,-0.13528797138356136
Dante Exum,1239,-0.13522182352775552
Sergey Karasev,230,-0.1350474141061059
Patrick McCaw,697,-0.134384534752316
Brandon Paul,126,-0.13276514806671497
Pero Antic,572,-0.1325563154533453
RJ Hunter,112,-0.1322860187014079
Kevin Knox II,1447,-0.13203354791963712
Justin Anderson,994,-0.13195792563913966
Dennis Smith Jr.,2048,-0.1315108186041431
Mike James,430,-0.1313538936096833
Jordan Adams,91,-0.13108619238680394
Mindaugas Kuzminskas,362,-0.13079071658747207
Brandon Boston Jr.,20,-0.13062390655051176
Luka Garza,20,-0.13051895907155403
Mangok Mathiang,7,-0.13008340051715622
Xavier Henry,350,-0.12948947415518677
Bruno Fernando,237,-0.128017419501985
Dragan Bender,919,-0.1280096767636325
Isaac Bonga,349,-0.12797680894079833
Haywood Highsmith,10,-0.12791056390549507
Udonis Haslem,516,-0.12785793232427436
Alonzo Gee,668,-0.12783626189456201
Reggie Williams,71,-0.1271037406695526
Marko Guduric,157,-0.12653509507080107
Marcus Smart,4080,-0.12603467304121668
Al Harrington,199,-0.12561251376144394
Elie Okobo,465,-0.12532382095177533
Chris McCullough,183,-0.12512515463797302
Tyler Hansbrough,408,-0.12415742045148914
Alec Peters,74,-0.1236051452289599
Emmanuel Mudiay,2998,-0.12316967976129249
Al-Farouq Aminu,3343,-0.12299538746943119
John Salmons,442,-0.12292471050154231
Brandon Jennings,2541,-0.12265528851704995
Walter Lemon Jr.,103,-0.12232438166152677
Nicolas Brussino,141,-0.12221111576443895
Jason Collins,23,-0.12194245121678031
James Southerland,15,-0.1215065663702973
Nazr Mohammed,150,-0.12141497301096668
Darrun Hilliard,276,-0.12090558986150626
Isaiah Briscoe,138,-0.12086187638702939
Omari Spellman,539,-0.12079919534008594
Josh Magette,61,-0.11992775695637455
Chris Copeland,452,-0.11953122159089896
Dwayne Bacon,1419,-0.11951765334984743
Sebastian Telfair,125,-0.11945714438047167
Jaylen Morris,41,-0.1187583633043304
Matisse Thybulle,548,-0.1184739574297518
Johnny O'Bryant III,508,-0.11843735507808939
Goga Bitadze,372,-0.11842509946754017
Brandon Rush,566,-0.11774816978778929
Nando De Colo,151,-0.11713310486145857
Gustavo Ayon,99,-0.11679786990696234
Shayne Whittington,52,-0.11621686410585572
Jarell Martin,864,-0.115717984801176
Kobe Bryant,1810,-0.11518424739256974
Francisco Garcia,340,-0.11472659901228942
Vlatko Cancar,87,-0.11443259339726665
D.J. Wilson,567,-0.11366284800926749
Semi Ojeleye,803,-0.11331180369649377
Malachi Flynn,362,-0.11191546680636599
Jordan Poole,1192,-0.1109688725203267
Keita Bates-Diop,473,-0.11092864551800075
Frank Ntilikina,1247,-0.11088240877945019
James Anderson,866,-0.11082399170573076
Andre Ingram,23,-0.1107026359293938
Shane Battier,266,-0.11065092513965973
Josh Smith,2521,-0.1105242983436674
Gary Payton II,284,-0.10985664896705989
Joakim Noah,1717,-0.10981142711440214
Danny Granger,464,-0.10973497031326147
DeAndre' Bembry,1333,-0.10953757417128744
Ray Spalding,51,-0.10924854582007529
Demetrius Jackson,34,-0.108990744201398
Chandler Hutchison,488,-0.10870297689644387
Melvin Frazier Jr.,55,-0.10863733136220198
Derrick Williams,1703,-0.10791577167178425
CJ Wilcox,135,-0.10787071704675126
Jan Vesely,173,-0.1074697361818124
Emeka Okafor,95,-0.10736495631468466
Othyus Jeffers,6,-0.10692008565550053
Jalen Jones,130,-0.10681768969506582
Iman Shumpert,2248,-0.10554801121709496
Ramon Sessions,1952,-0.10530995438649843
Zaza Pachulia,1976,-0.10526012800610286
Jamel Artis,79,-0.10513387835150673
Luke Kornet,685,-0.10443580525248825
Rodions Kurucs,658,-0.10434469011171928
Earl Clark,284,-0.10422550190605948
Maurice Ndour,86,-0.10412629326918296
Yuta Watanabe,265,-0.10364554248903662
Isaiah Canaan,1583,-0.10327966227763682
Willie Green,572,-0.10314894962465937
P.J. Dozier,620,-0.10311091102091081
Anthony Edwards,1513,-0.10267858639917436
DaQuan Jeffries,160,-0.10250327276515955
Ayo Dosunmu,73,-0.10229532548687391
Deni Avdija,378,-0.10228953424763075
Terrance Ferguson,809,-0.10206956839946264
Ray McCallum,886,-0.10193226142019132
Tyler Ennis,759,-0.10191586530532573
Tim Frazier,1226,-0.10155188679008435
Ricky Rubio,5015,-0.10144443261902092
Marshall Plumlee,32,-0.10107252193282372
Larry Sanders,320,-0.10086700894443716
Saben Lee,220,-0.1007617358464429
Jonathan Isaac,1078,-0.10070827037166875
Justin Robinson,77,-0.10015580419646919
Daniel Hamilton,71,-0.1000572656876622
Sam Dekker,923,-0.09982193710935446
Josh Jackson,2738,-0.09975168181168248
Will Bynum,461,-0.09902920404059629
Joe Young,413,-0.09889736189446015
Nicolo Melli,464,-0.09841084775454473
Thomas Robinson,1011,-0.09837908142433982
Draymond Green,4430,-0.09829095866072514
Thon Maker,970,-0.09815321095664394
Kris Dunn,1828,-0.09813689835029378
Hamidou Diallo,959,-0.09755366945776472
Kobi Simmons,190,-0.09744007783556978
Isaiah Joe,162,-0.09709490714187245
Davion Mitchell,137,-0.09677573830334933
Mitchell Creek,16,-0.09568241957003572
Thanasis Antetokounmpo,237,-0.09557842938877331
Tyreke Evans,4134,-0.09507057918421889
Norris Cole,1512,-0.09491914380316586
Erick Green,175,-0.09449022486878546
Facundo Campazzo,361,-0.09406347033708175
Wenyen Gabriel,106,-0.09395892483744787
Jarrod Uthoff,56,-0.0939323226462592
Luc Mbah a Moute,1759,-0.09357151325793982
Charlie Villanueva,740,-0.09323509161245944
Matt Barnes,2243,-0.09283700560487336
Vitor Faverani,146,-0.09270253399866707
Moses Brown,280,-0.09244529895777483
Nickeil Alexander-Walker,965,-0.0923126918410662
Kendrick Perkins,489,-0.09145770876082458
RJ Barrett,2001,-0.09139405372349572
Jaylen Hoard,120,-0.08969714683734296
